ds,RegionID,RegionName,StateName,SizeRank,Rent_Forecast,yhat_lower_x,yhat_upper_x,Mortgage_Forecast,yhat_lower_y,yhat_upper_y,Rent_Mortgage_Ratio_Forecast,Affordability_Gap_Forecast
2020-06-30,394338,"Asheville, NC",NC,121,1328.1210963564893,1317.8425093763612,1339.205987052875,1416.237935929407,1270.1659850288586,1553.0002279458563,0.9377810484118326,88.1168395729178
2020-07-31,394338,"Asheville, NC",NC,121,1338.4929229844572,1328.5555800502063,1348.885838172377,1447.5139917369754,1304.380798696507,1582.721906458391,0.9246839274957915,109.0210687525182
2020-08-31,394338,"Asheville, NC",NC,121,1343.2060397183768,1332.6198959711978,1354.3831960812586,1458.2827808527068,1321.085698503371,1603.3607587526196,0.9210874991837723,115.07674113432995
2020-09-30,394338,"Asheville, NC",NC,121,1351.8589192873192,1341.3155571523419,1362.9762441569383,1469.9013032525656,1328.1160587771246,1611.380905122561,0.9196936667080675,118.04238396524647
2020-10-31,394338,"Asheville, NC",NC,121,1363.63628910819,1352.0487748931916,1375.273234294333,1493.0598822373902,1359.9430363569277,1624.3470847895055,0.9133165423109116,129.42359312920007
2020-11-30,394338,"Asheville, NC",NC,121,1373.392952511491,1361.5688608426135,1383.6411380652785,1518.8849767813426,1378.9938037243035,1665.5592443561936,0.9042112954608568,145.49202426985153
2020-12-31,394338,"Asheville, NC",NC,121,1381.173807501663,1371.1933842814506,1392.1723024386731,1523.6523278434063,1383.589746106772,1675.3684375389016,0.906488824426627,142.4785203417432
2021-01-31,394338,"Asheville, NC",NC,121,1398.0332255482083,1386.8020933414214,1409.2229023855573,1532.0593218791096,1397.2155792267947,1677.6925130998654,0.9125189903439803,134.02609633090128
2021-02-28,394338,"Asheville, NC",NC,121,1418.6762445366908,1408.1052800341809,1429.615485338056,1566.7680918815902,1423.7404191756136,1715.7735779721293,0.9054794081445389,148.0918473448994
2021-03-31,394338,"Asheville, NC",NC,121,1435.6810327359842,1425.0085638699481,1446.7374100991021,1600.740662314859,1467.5516503977562,1740.7481919817067,0.8968854646697241,165.05962957887482
2021-04-30,394338,"Asheville, NC",NC,121,1453.3688715645205,1442.506525099283,1464.3486397752233,1635.8072981651396,1491.165283143357,1780.1861770997787,0.8884719326015617,182.4384266006191
2021-05-31,394338,"Asheville, NC",NC,121,1473.695946605667,1462.704062986702,1485.041649359888,1671.7014769383413,1532.443865641202,1809.190826431092,0.8815544921959906,198.00553033267443
2021-06-30,394338,"Asheville, NC",NC,121,1495.198274197982,1484.0714760222943,1506.0198510218247,1705.0192544352271,1569.6219879871123,1841.6506543169148,0.8769392312189774,209.82098023724507
2021-07-31,394338,"Asheville, NC",NC,121,1521.649817884662,1510.3716762337308,1532.8605616987118,1755.283992260753,1614.4419699996536,1902.774666400402,0.8668966529597429,233.63417437609087
2021-08-31,394338,"Asheville, NC",NC,121,1544.2165833673648,1532.7053988937894,1554.9970290236854,1776.416847391903,1644.483425145743,1921.616108074894,0.8692872878539462,232.20026402453823
2021-09-30,394338,"Asheville, NC",NC,121,1565.564792501492,1554.3786971474785,1576.6978165326766,1811.2919218418112,1665.7523514600773,1947.933101125687,0.8643359878232927,245.72712934031915
2021-10-31,394338,"Asheville, NC",NC,121,1588.2746585938596,1577.8732335863629,1599.7260061809804,1861.7994272060278,1732.761789644856,1998.4688288533273,0.8530858025761441,273.52476861216815
2021-11-30,394338,"Asheville, NC",NC,121,1609.4465212711716,1598.9304761027088,1619.9530991136094,1897.6464359277222,1760.5903696903224,2040.0189461817256,0.8481277074590265,288.1999146565506
2021-12-31,394338,"Asheville, NC",NC,121,1630.7421623947962,1620.2632482448853,1641.3044986376342,1910.78875832159,1755.3348614358656,2045.4403568985883,0.8534392696695668,280.04659592679377
2022-01-31,394338,"Asheville, NC",NC,121,1650.422991069277,1639.4478114322676,1661.6096589902643,1937.2686694512176,1806.1843543256068,2089.2999959097588,0.8519329389334536,286.8456783819406
2022-02-28,394338,"Asheville, NC",NC,121,1667.5637273720617,1656.5962618628766,1678.337953085511,1958.378770685067,1814.4787439689007,2094.4955135859695,0.8515021467418817,290.81504331300516
2022-03-31,394338,"Asheville, NC",NC,121,1690.1500847935952,1679.2103535563838,1700.9082941990478,2010.8537021594982,1873.7736414604124,2151.636721121438,0.8405136997179393,320.703617365903
2022-04-30,394338,"Asheville, NC",NC,121,1708.9170538109017,1698.019782277807,1719.6836452398015,2046.8331331705597,1913.670480732737,2204.9009490953827,0.8349078516057519,337.91607935965794
2022-05-31,394338,"Asheville, NC",NC,121,1724.6549043167304,1714.4709960723424,1736.1539309871412,2082.327741630508,1940.3358467910612,2234.6902927246647,0.8282341294489444,357.6728373137778
2022-06-30,394338,"Asheville, NC",NC,121,1736.4446251289455,1725.2347343161136,1747.0655354687108,2116.8095353771346,1990.6343379052857,2256.09101246604,0.8203121707969713,380.36491024818906
2022-07-31,394338,"Asheville, NC",NC,121,1753.6961168371226,1742.0865382827437,1764.7553312344867,2156.9704120606,2008.4610048967256,2300.914356578804,0.8130367051079662,403.27429522347757
2022-08-31,394338,"Asheville, NC",NC,121,1768.856124247386,1757.1563857180793,1780.1144213611558,2173.6052748549805,2036.9612270930597,2306.2125879302534,0.8137890281690642,404.7491506075944
2022-09-30,394338,"Asheville, NC",NC,121,1779.051637540542,1768.22418604858,1789.376439678518,2217.325268552068,2071.5375392527385,2360.858128489582,0.8023412995704856,438.2736310115258
2022-10-31,394338,"Asheville, NC",NC,121,1788.043972191061,1777.2618847183915,1798.8763876860876,2270.0127071751826,2136.0681583063288,2409.5926254643564,0.7876801599124585,481.96873498412174
2022-11-30,394338,"Asheville, NC",NC,121,1796.8119229265665,1786.2089713012651,1807.0845000274007,2291.3610107943095,2152.6393715208815,2434.0870868898724,0.7841679746063648,494.5490878677431
2022-12-31,394338,"Asheville, NC",NC,121,1806.9726699975083,1796.0937746936333,1817.2545071728168,2287.7643003091453,2140.0784025010175,2427.1147425757053,0.7898421484037199,480.79163031163694
2023-01-31,394338,"Asheville, NC",NC,121,1813.543526621205,1802.7137212467687,1824.4061556873935,2307.1918426072425,2165.3399616695497,2455.8726489876553,0.786039328472924,493.64831598603746
2023-02-28,394338,"Asheville, NC",NC,121,1812.9021957669136,1801.1718070610973,1823.7184240562292,2305.5529974684982,2174.813966090324,2445.275178282193,0.7863198971168669,492.65080170158467
2023-03-31,394338,"Asheville, NC",NC,121,1825.2756628426027,1814.741956505864,1836.9510457781996,2366.192313201592,2218.4160204666655,2512.03183162663,0.7713978498953459,540.916650358989
2023-04-30,394338,"Asheville, NC",NC,121,1829.7854336153532,1819.030206069022,1840.759210624901,2392.67454434084,2240.0203367380504,2529.8241852363994,0.7647448074135976,562.8891107254867
2023-05-31,394338,"Asheville, NC",NC,121,1837.8147371770413,1826.958690406714,1848.6855777680482,2417.157247520049,2274.9741601214796,2559.820871168437,0.7603207193336715,579.3425103430079
2023-06-30,394338,"Asheville, NC",NC,121,1836.8399829732534,1825.8651759928202,1848.1362870706569,2442.467051004386,2302.3659068509,2576.499574453045,0.7520428913126636,605.6270680311327
2023-07-31,394338,"Asheville, NC",NC,121,1841.8310517331313,1830.7464972018824,1852.8441586905983,2462.65430321056,2317.4981197500106,2595.332844317474,0.7479048315193643,620.8232514774288
2023-08-31,394338,"Asheville, NC",NC,121,1846.5409562934406,1835.407618168112,1857.6693534511094,2465.2639119184664,2323.298075594825,2603.6949468290486,0.7490236430129154,618.7229556250259
2023-09-30,394338,"Asheville, NC",NC,121,1852.4422831450595,1841.581249780666,1863.5316541383106,2508.5606378999614,2370.0095419491363,2647.417751602227,0.7384482779319337,656.1183547549019
2023-10-31,394338,"Asheville, NC",NC,121,1854.7991502311713,1844.2237946238813,1864.7521079705023,2572.947755917818,2446.729888378703,2715.034095424129,0.7208848862030353,718.1486056866468
2023-11-30,394338,"Asheville, NC",NC,121,1858.0515393402577,1847.976509728565,1869.134710734289,2588.865573527443,2456.706944934603,2736.2370987710824,0.7177087749707224,730.8140341871851
2023-12-31,394338,"Asheville, NC",NC,121,1864.1571370219476,1853.1459324280795,1875.68670041034,2578.3302856662676,2445.148221349894,2717.2210719462337,0.7230094404062084,714.17314864432
2024-01-31,394338,"Asheville, NC",NC,121,1868.4694987651606,1857.7174267984803,1879.1932074181505,2600.4877583520974,2465.602635931284,2756.871105015769,0.7185073233912052,732.0182595869369
2024-02-29,394338,"Asheville, NC",NC,121,1873.2396719914047,1862.2770105527995,1884.0646121592893,2638.1428813437956,2492.6034762729146,2781.639300447868,0.7100599763714198,764.9032093523908
2024-03-31,394338,"Asheville, NC",NC,121,1872.1676558140416,1861.8377326781222,1883.2240827874834,2645.416593903975,2503.0791910737375,2783.452820489328,0.7077023936903598,773.2489380899333
2024-04-30,394338,"Asheville, NC",NC,121,1876.6311191470595,1865.6631486514077,1888.0527986460597,2671.2214968624776,2531.651248437931,2805.3309619957263,0.7025366939249643,794.5903777154181
2024-05-31,394338,"Asheville, NC",NC,121,1875.1650233315938,1864.6036500025652,1886.123372361563,2699.025684429616,2561.372688732695,2842.447924485738,0.6947562722908551,823.8606610980221
2024-06-30,394338,"Asheville, NC",NC,121,1880.810393518951,1870.396523841852,1891.1065044166828,2722.8949067499125,2591.2264696974216,2861.562360063378,0.6907392528652213,842.0845132309614
2024-07-31,394338,"Asheville, NC",NC,121,1890.1334665497743,1878.8228316437765,1900.5950169303944,2773.581753772836,2639.9093398627424,2912.032384259736,0.6814774664488155,883.4482872230615
2024-08-31,394338,"Asheville, NC",NC,121,1893.7978296865824,1882.2849430962274,1903.8945977103883,2789.880881972939,2635.717180258439,2929.048443240102,0.6788095656425778,896.0830522863564
2024-09-30,394338,"Asheville, NC",NC,121,1895.8725596154632,1884.3931683575595,1906.4184125351842,2806.851345422222,2666.0316185592715,2950.4809909147034,0.6754445912169516,910.9787858067589
2024-10-31,394338,"Asheville, NC",NC,121,1900.8525081415942,1889.0739208408565,1911.5077744573603,2835.540263491402,2685.760432546452,2977.2913231382627,0.6703669606162014,934.687755349808
2024-11-30,394338,"Asheville, NC",NC,121,1904.031021904825,1893.5920150983518,1914.6784455131572,2866.7172990847394,2723.5941409226375,3007.673405076486,0.6641851369553348,962.6862771799144
2024-12-31,394338,"Asheville, NC",NC,121,1905.014455600242,1893.4029467712348,1916.5574414762136,2877.014989231138,2721.612068916245,3016.20434472919,0.6621496456330052,972.0005336308959
2025-01-31,394338,"Asheville, NC",NC,121,1907.26227993362,1895.9602160523764,1918.0825013977299,2890.952322351202,2750.6541476746834,3030.1601218662636,0.6597349479573741,983.6900424175819
2025-02-28,394338,"Asheville, NC",NC,121,1914.707730406939,1903.5338216666898,1926.1011162357859,2917.4564543182732,2775.122569374704,3059.4100492338544,0.6562935078509515,1002.7487239113343
2025-03-31,394338,"Asheville, NC",NC,121,1917.1009248930802,1906.5720372476744,1926.846697507854,2942.3453183554566,2795.403711557709,3072.757564224942,0.65155538098587,1025.2443934623764
2025-04-30,394338,"Asheville, NC",NC,121,1920.6485117410855,1909.477847705021,1932.164880524128,2968.621270596465,2828.320967950035,3112.6317958892264,0.6469833423228092,1047.9727588553794
2025-05-31,394338,"Asheville, NC",NC,121,1922.3796250058588,1911.8347364459864,1933.2205234663177,2995.431742973492,2859.229780473941,3140.00145782,0.6417704658152416,1073.0521179676332
2025-06-30,394338,"Asheville, NC",NC,121,1925.8858605564988,1915.0564486670955,1936.2794471048785,3019.9588368610803,2880.993893853933,3165.7557278486897,0.637719242080216,1094.0729763045815
2025-07-31,394338,"Asheville, NC",NC,121,1933.741442466817,1923.3350124996307,1944.5081187484475,3060.4991074548725,2916.0621093210534,3199.930392505394,0.6318385905607817,1126.7576649880555
2025-08-31,394338,"Asheville, NC",NC,121,1937.7122461731399,1926.545891050341,1948.9726998157068,3071.907495354141,2934.7545344373334,3220.790877204852,0.6307846994428304,1134.195249181001
2025-09-30,394338,"Asheville, NC",NC,121,1941.0643632753363,1930.036611538603,1952.92512456477,3097.3717950636355,2962.505099459089,3243.2203499056927,0.6266810998824431,1156.3074317882993
2025-10-31,394338,"Asheville, NC",NC,121,1945.1782676013897,1932.586850875278,1958.1488729723978,3138.15483319612,2993.214548986681,3284.6532075504165,0.6198477675559054,1192.9765655947301
2025-11-30,394338,"Asheville, NC",NC,121,1948.354038246778,1934.6060032434698,1961.2045901596416,3164.5910671773586,3028.4159496935863,3306.2517559176204,0.6156732408350639,1216.2370289305807
2025-12-31,394338,"Asheville, NC",NC,121,1951.0537176040823,1937.02327681799,1966.468911780677,3167.941777589716,3016.5620224231666,3314.199145750556,0.6158742346232493,1216.8880599856336
2026-01-31,394338,"Asheville, NC",NC,121,1954.0679848658438,1937.2098161580643,1970.6483050667764,3184.630076737784,3033.930376062375,3328.828721300255,0.6135933963380507,1230.56209187194
2026-02-28,394338,"Asheville, NC",NC,121,1956.15505279594,1938.08787225873,1973.3701477440059,3196.896141343289,3062.2455579428724,3334.242120294358,0.6118919621749089,1240.741088547349
2026-03-31,394338,"Asheville, NC",NC,121,1962.0748488047518,1942.1007961861517,1981.5625813181446,3239.5794608360975,3104.0671668240643,3379.216120178914,0.6056572689525459,1277.5046120313457
2026-04-30,394338,"Asheville, NC",NC,121,1964.7128874226826,1942.2949957652572,1986.710711770364,3266.083138316564,3121.912476082495,3416.3860284878283,0.6015501762258734,1301.3702508938816
2026-05-31,394338,"Asheville, NC",NC,121,1969.610110410639,1941.6588999117237,1995.4726022442555,3291.78613508362,3141.3991470508936,3437.055734107886,0.5983408488840377,1322.1760246729812
2026-06-30,394338,"Asheville, NC",NC,121,1970.9089013668015,1941.80281972771,1998.5537493543325,3316.792175578886,3160.7493834365864,3469.796358601189,0.5942214034024652,1345.8832742120846
2026-07-31,394338,"Asheville, NC",NC,121,1977.3197655571078,1943.2873287924424,2010.293474536021,3347.161440569305,3205.4845777469145,3504.701024149864,0.5907452630133052,1369.8416750121971
2026-08-31,394338,"Asheville, NC",NC,121,1981.6391454494901,1944.6978773854155,2016.9871180512762,3354.0046916706933,3209.885154725419,3488.6562314571065,0.5908277798092161,1372.3655462212032
2026-09-30,394338,"Asheville, NC",NC,121,1986.267250063724,1945.6572596665126,2025.4581914275439,3388.2489321165463,3242.767512525944,3544.572670824301,0.5862223496143648,1401.9816820528222
2026-10-31,394338,"Asheville, NC",NC,121,1989.5065957460213,1943.1596238383413,2034.1647999853228,3440.9363707397074,3292.754517747319,3600.477025317723,0.5781875575102052,1451.4297749936861
2026-11-30,394338,"Asheville, NC",NC,121,1992.7071378026017,1942.9347020801765,2040.1384823670298,3462.2846743588343,3302.8843364082636,3611.945517440547,0.575546878787956,1469.5775365562326
2026-12-31,394338,"Asheville, NC",NC,121,1997.1148959053287,1941.3966770730153,2048.974067111096,3458.6879638735845,3325.9903900198938,3609.370675831987,0.5774197952418478,1461.5730679682558
2027-01-31,394338,"Asheville, NC",NC,121,2000.8173682556828,1940.4820111894794,2054.7851128935913,3478.115506171699,3334.688010259562,3632.93577615015,0.5752590345850669,1477.2981379160162
2027-02-28,394338,"Asheville, NC",NC,121,1997.5852387028926,1933.8852616335787,2057.799189556977,3476.4766610329957,3330.7326422461642,3639.8092170139253,0.5746005031741915,1478.891422330103
2027-03-31,394338,"Asheville, NC",NC,121,2007.0903215052635,1935.1671010175105,2072.962149394271,3537.1159767660324,3383.667973441548,3688.455826213097,0.5674369556127296,1530.0256552607689
2027-04-30,394338,"Asheville, NC",NC,121,2008.8242365295912,1934.7040060065378,2075.2483483049896,3563.5982079053106,3412.534497707919,3713.785402082453,0.5637067142062522,1554.7739713757194
2027-05-31,394338,"Asheville, NC",NC,121,2016.8535400913233,1935.885610203846,2087.8234827937217,3588.0809110845917,3436.4714728406225,3751.6529330717062,0.5620981215503517,1571.2273709932683
2027-06-30,394338,"Asheville, NC",NC,121,2015.8787858875055,1928.8796562680886,2092.4779629996656,3613.390714568823,3456.7218195544465,3774.3563891467593,0.5578911734509329,1597.5119286813176
2015-01-31,394346,"Athens, GA",GA,217,829.2104385120043,816.8416212532566,842.0116384229495,902.3004905703717,805.3807007762481,1002.0779246877652,0.9189958857141206,73.0900520583674
2015-02-28,394346,"Athens, GA",GA,217,832.18740204695,820.3331170101434,843.4580714254133,878.392768551421,779.4310066890487,973.9628895423231,0.9473978291275446,46.205366504471044
2015-03-31,394346,"Athens, GA",GA,217,834.7708139500537,823.1281229231008,847.1284491150717,913.861332554813,818.1049064544668,1008.3946913295172,0.9134545737003098,79.09051860475927
2015-04-30,394346,"Athens, GA",GA,217,838.9597649266261,826.0274166686238,850.5393608187848,919.9915317730758,823.4507246908951,1021.2753832045336,0.911921181828403,81.03176684644973
2015-05-31,394346,"Athens, GA",GA,217,840.4969730998005,827.7347828937585,853.2193657164756,922.8949852887808,829.7721270068846,1013.1694182830361,0.9107178893563959,82.39801218898037
2015-06-30,394346,"Athens, GA",GA,217,846.2663272064138,833.0124437467899,858.0048366021994,926.2628899117354,828.0769710763201,1020.7173183069551,0.9136351422726818,79.9965627053216
2015-07-31,394346,"Athens, GA",GA,217,854.2651600973525,842.5283238704462,865.5106947782016,920.8222590393605,830.8268504964306,1021.729082004228,0.9277199282612444,66.557098942008
2015-08-31,394346,"Athens, GA",GA,217,856.0096734738266,843.4692879130021,868.6425977808441,904.4731230862855,809.4989643233481,1004.2918010724271,0.9464180323600003,48.46344961245882
2015-09-30,394346,"Athens, GA",GA,217,860.9709550387871,848.1543444479523,873.9877995507233,921.4856634689995,815.6724007457689,1017.5852847687075,0.9343291916204096,60.51470843021241
2015-10-31,394346,"Athens, GA",GA,217,858.8172137244895,846.7177730330894,871.2393765995976,955.2868192400398,857.1127601709886,1047.3086847749819,0.8990150355133186,96.46960551555026
2015-11-30,394346,"Athens, GA",GA,217,868.747517338021,856.7516966896792,879.9442398698066,949.2203009200203,850.1216386122752,1040.3402677954075,0.9152222265958682,80.47278358199935
2015-12-31,394346,"Athens, GA",GA,217,870.0215158571227,857.0529138682475,881.5652436995842,923.7939886344518,826.5675634282754,1023.2194612617834,0.9417917052514974,53.772472777329085
2016-01-31,394346,"Athens, GA",GA,217,872.7410233045551,860.5511638473962,885.9505363430443,938.4315879721976,842.6997872111233,1033.06765033264,0.9299996232974325,65.69056466764243
2016-02-29,394346,"Athens, GA",GA,217,877.0088212560515,865.1635661976964,888.701611159241,949.8842866684835,859.2626029527743,1045.6728778839683,0.9232796389673661,72.87546541243194
2016-03-31,394346,"Athens, GA",GA,217,881.7470846789201,869.6866302296601,894.570915888122,937.9966342306122,846.0015939590086,1032.3457681472435,0.9400322479858038,56.2495495516921
2016-04-30,394346,"Athens, GA",GA,217,883.9378386503912,871.9398917485408,895.0266094571883,943.2107429003677,848.4183570699637,1037.4040050180022,0.9371583660426591,59.27290424997648
2016-05-31,394346,"Athens, GA",GA,217,888.6509903745983,876.8808803792289,900.7671835198219,950.9185805729311,858.994534476054,1047.4180723071672,0.9345184840527394,62.267590198332755
2016-06-30,394346,"Athens, GA",GA,217,890.1300243281885,877.9515642485079,901.7846935727227,956.1315707232359,860.3474128657883,1054.2728060296815,0.930970225839188,66.0015463950474
2016-07-31,394346,"Athens, GA",GA,217,898.8349122377293,886.5694095604406,911.0708372383306,978.6645467890963,881.7695433505726,1070.1429527556895,0.9184300332393972,79.82963455136701
2016-08-31,394346,"Athens, GA",GA,217,906.7980903231747,894.7254725802395,919.488238844589,975.7758214814493,887.1474233355337,1074.000241627244,0.9293098582279373,68.97773115827454
2016-09-30,394346,"Athens, GA",GA,217,908.4781537339106,896.0175610798634,921.258062552901,975.2245269081491,882.8953556511162,1072.202208721668,0.9315579424711035,66.74637317423844
2016-10-31,394346,"Athens, GA",GA,217,916.92398834265,905.168659357387,929.2292881543588,984.1267659381359,891.7759969361019,1082.9608903158555,0.9317132914971338,67.20277759548594
